pathway	consistency	p-value	FDR
CHANDRAN_METASTASIS_UP	0.25858125068318905	0.000999000999000999	1.0
DODD_NASOPHARYNGEAL_CARCINOMA_DN	0.14876350745123923	0.04095904095904096	1.0
RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_UP	0.1383608860110308	0.10789210789210789	1.0
CHUNG_BLISTER_CYTOTOXICITY_UP	0.1383608860110308	0.10789210789210789	1.0
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_UP	0.1383608860110308	0.10789210789210789	1.0
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_UP	0.1383608860110308	0.10789210789210789	1.0
PULVER_FOREY_CELLCYCLE_PEAKING_G2	0.1383608860110308	0.10789210789210789	1.0
FLORIO_HUMAN_NEOCORTEX	0.1383608860110308	0.10789210789210789	1.0
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_DN	0.13783519231210162	0.10789210789210789	1.0
GOZGIT_ESR1_TARGETS_DN	0.09527358923217155	0.21978021978021978	1.0
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP	0.09290002171027145	0.21978021978021978	1.0
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP	0.09290002171027145	0.21978021978021978	1.0
LIEN_BREAST_CARCINOMA_METAPLASTIC_VS_DUCTAL_UP	0.09290002171027145	0.21978021978021978	1.0
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_UP	0.09290002171027145	0.21978021978021978	1.0
RICKMAN_HEAD_AND_NECK_CANCER_A	0.09290002171027145	0.21978021978021978	1.0
ZWANG_DOWN_BY_2ND_EGF_PULSE	0.09290002171027145	0.21978021978021978	1.0
KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_UP	0.09290002171027145	0.21978021978021978	1.0
PYEON_HPV_POSITIVE_TUMORS_UP	0.09290002171027145	0.21978021978021978	1.0
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_UP	0.09290002171027145	0.21978021978021978	1.0
FONG_MCMASTER_OPA1_CARDIOPROTECTION_UP	0.07551374236269792	0.21978021978021978	1.0
ZHANG_FH_DEFICIENT_RCC_C1_VS_OTHERS_UP	0.05754809096334834	0.25074925074925075	1.0
MCCABE_BOUND_BY_HOXC6	0.05104226990526983	0.2947052947052947	1.0
SASAKI_ADULT_T_CELL_LEUKEMIA	0.04060103299968976	0.36363636363636365	1.0
LIU_NASOPHARYNGEAL_CARCINOMA	0.032507726804584025	0.36363636363636365	1.0
ODONNELL_TFRC_TARGETS_UP	0.02845648350272023	0.4385614385614386	1.0
KOYAMA_SEMA3B_TARGETS_UP	0.020878810948326887	0.4255744255744256	1.0
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_UP	0.009743013131859879	0.46153846153846156	1.0
REACTOME_RAS_SIGNALING_DOWNSTREAM_OF_NF1_LOSS_OF_FUNCTION_VARIANTS	0.0	1.0	1.0
REACTOME_REACTIONS_SPECIFIC_TO_THE_COMPLEX_N_GLYCAN_SYNTHESIS_PATHWAY	0.0	1.0	1.0
REACTOME_REGULATION_OF_APOPTOSIS	0.0	1.0	1.0
REACTOME_REGULATION_BY_C_FLIP	0.0	1.0	1.0
REACTOME_RA_BIOSYNTHESIS_PATHWAY	0.0	1.0	1.0
REACTOME_REGULATION_OF_BACH1_ACTIVITY	0.0	1.0	1.0
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES	0.0	1.0	1.0
REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR	0.0	1.0	1.0
REACTOME_RECEPTOR_MEDIATED_MITOPHAGY	0.0	1.0	1.0
REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS	0.0	1.0	1.0
REACTOME_REGULATED_NECROSIS	0.0	1.0	1.0
REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES	0.0	1.0	1.0
REACTOME_REELIN_SIGNALLING_PATHWAY	0.0	1.0	1.0
REACTOME_REDUCTION_OF_CYTOSOLIC_CA_LEVELS	0.0	1.0	1.0
REACTOME_RECYCLING_PATHWAY_OF_L1	0.0	1.0	1.0
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	0.0	1.0	1.0
REACTOME_RECYCLING_OF_EIF2_GDP	0.0	1.0	1.0
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	0.0	1.0	1.0
REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES	0.0	1.0	1.0
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	0.0	1.0	1.0
