rejected_pathway	killed_by	min_ratio
CAIRO_HEPATOBLASTOMA_CLASSES_UP	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	3.6001491911827483
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.11224967034091331
REACTOME_RRNA_PROCESSING	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.18316022632412118
KEGG_RIBOSOME	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.03512307687734592
KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.030650544301238935
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.11177361470632895
REACTOME_INFLUENZA_INFECTION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.12586931910572055
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.042913136961487686
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.10182361164456649
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.017364214589550984
REACTOME_NONSENSE_MEDIATED_DECAY_NMD	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.0697271854615696
REACTOME_SELENOAMINO_ACID_METABOLISM	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.03010362468520773
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.03988333248658776
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.04096222106173899
CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.16234215342681946
DANG_MYC_TARGETS_UP	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	1.2063684706027913
REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.1360207238898425
MARTENS_TRETINOIN_RESPONSE_DN	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	1.2745839091358087
REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.05084655075888864
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.1337784866568712
PUJANA_BRCA1_PCC_NETWORK	GRADE_COLON_AND_RECTAL_CANCER_UP	3.738811864448024
REACTOME_CELLULAR_RESPONSE_TO_STARVATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.06863336852916709
REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.1675143364169272
