NKX28	ENSG00000226210	ENSG00000161714	ENSG00000278171	ENSG00000181404	ENSG00000149656	ENSG00000236875	ENSG00000256263	ENSG00000232852	ENSG00000181513
NFKB2	ENSG00000160838	ENSG00000206741	ENSG00000132849	ENSG00000267484	ENSG00000281120	ENSG00000178802	ENSG00000229944	ENSG00000271366	ENSG00000196843
IRX5	ENSG00000140297	ENSG00000216425	ENSG00000273675	ENSG00000260404	ENSG00000250922	ENSG00000012983	
MAD3	ENSG00000091164	ENSG00000178802	ENSG00000229944	ENSG00000173214	ENSG00000275645	ENSG00000156453	ENSG00000207547	ENSG00000152219	ENSG00000230449
ARID2	ENSG00000091164	ENSG00000279602	ENSG00000206741	ENSG00000275552	ENSG00000213246	ENSG00000164535	ENSG00000166262	ENSG00000138764	ENSG00000087077
NCOA3	ENSG00000268583	ENSG00000114378	ENSG00000128585	ENSG00000163659	ENSG00000166262	ENSG00000182224	ENSG00000129194	ENSG00000163527	ENSG00000094914
HXB5	ENSG00000207766	ENSG00000173401	ENSG00000067798	ENSG00000174485	ENSG00000275638	ENSG00000225391	ENSG00000206818	ENSG00000016402	ENSG00000073614
TWST1	ENSG00000091164	ENSG00000221760	ENSG00000160838	ENSG00000132849	ENSG00000197991	ENSG00000227769	ENSG00000251015	ENSG00000267295	ENSG00000188021
ID1	ENSG00000091164	ENSG00000160838	ENSG00000178802	ENSG00000134716	ENSG00000227161	ENSG00000275645	ENSG00000196843	ENSG00000213689	ENSG00000279356
PAX8	ENSG00000258077	ENSG00000265961	ENSG00000232121	ENSG00000136003	ENSG00000263278	ENSG00000165935	ENSG00000261371	ENSG00000266579	ENSG00000283433
SRBP1	ENSG00000245059	ENSG00000267286	ENSG00000279602	ENSG00000268583	ENSG00000275552	ENSG00000132849	ENSG00000186526	ENSG00000279770	ENSG00000100934
HXD4	ENSG00000284634	ENSG00000221176	ENSG00000258115	ENSG00000233719	ENSG00000133321	ENSG00000239254	ENSG00000248905	ENSG00000272917	ENSG00000223813
COE1	ENSG00000143013	ENSG00000206741	ENSG00000132849	ENSG00000173214	ENSG00000271366	ENSG00000213689	ENSG00000156453	ENSG00000107537	ENSG00000152219
FOSB	ENSG00000232245	ENSG00000268292	ENSG00000225652	ENSG00000253823	ENSG00000169403	ENSG00000258082	ENSG00000173214	ENSG00000076864	ENSG00000150753
E2F8	ENSG00000091164	ENSG00000185761	ENSG00000268583	ENSG00000132849	ENSG00000225137	ENSG00000178802	ENSG00000175634	ENSG00000229944	ENSG00000254224
NFYA	ENSG00000091164	ENSG00000143013	ENSG00000185761	ENSG00000160838	ENSG00000268583	ENSG00000178802	ENSG00000175634	ENSG00000229944	ENSG00000254224
GLI3	ENSG00000143013	ENSG00000279602	ENSG00000266721	ENSG00000132849	ENSG00000166262	ENSG00000252614	ENSG00000132357	ENSG00000275645	ENSG00000198843
AHR	ENSG00000237798	ENSG00000202001	ENSG00000274068	ENSG00000224764	ENSG00000104825	ENSG00000143341	ENSG00000166927	ENSG00000170271	ENSG00000258082
SUH	ENSG00000206741	ENSG00000229944	ENSG00000173214	ENSG00000271366	ENSG00000213689	ENSG00000156453	ENSG00000203852	ENSG00000107537	ENSG00000152219
MEF2C	ENSG00000091164	ENSG00000246228	ENSG00000277465	ENSG00000225137	ENSG00000175634	ENSG00000196843	ENSG00000284585	ENSG00000175087	ENSG00000230449
