,genes,expression
0,ENSG00000000003,-0.904712472832295
1,ENSG00000000005,-0.851542314956466
2,ENSG00000000419,0.843700185470391
3,ENSG00000000457,-0.998032029945742
4,ENSG00000000460,0.88333250496929
5,ENSG00000000938,-0.998333375329509
6,ENSG00000000971,0.0797967093709264
7,ENSG00000001036,-0.223022270087689
8,ENSG00000001084,0.593306525467383
9,ENSG00000001167,0.545331191028827
10,ENSG00000001460,-0.942898944417101
11,ENSG00000001461,-0.915329800861484
12,ENSG00000001497,0.547923064217162
13,ENSG00000001561,0.362966152276474
14,ENSG00000001617,0.282383552456253
15,ENSG00000001626,-0.090832807901739
16,ENSG00000001629,-0.418294890613084
17,ENSG00000001630,0.927209540325602
18,ENSG00000001631,0.365080492067683
19,ENSG00000002016,0.908440571137254
20,ENSG00000002079,-0.997187712380751
21,ENSG00000002330,0.625784761521888
22,ENSG00000002549,-0.978864555881034
23,ENSG00000002586,0.147502499816672
24,ENSG00000002587,0.747019505422788
25,ENSG00000002726,-0.537568289800189
26,ENSG00000002745,0.384583523295239
27,ENSG00000002746,-0.934832077825981
28,ENSG00000002822,-0.624131163963096
29,ENSG00000002834,0.309643627476947
30,ENSG00000002919,-0.972902434112823
31,ENSG00000002933,-0.828620758556933
32,ENSG00000003056,-0.964499808777099
33,ENSG00000003096,-0.441628401212165
34,ENSG00000003137,-0.0803374182991493
35,ENSG00000003147,-0.589280222885802
36,ENSG00000003249,-0.637948997927801
37,ENSG00000003393,0.98373486971524
38,ENSG00000003400,0.323208978647204
39,ENSG00000003402,0.385809349038449
40,ENSG00000003436,0.427369251476668
41,ENSG00000003756,0.0334119769048912
42,ENSG00000003987,0.40559773241888
43,ENSG00000003989,-0.999471427845826
44,ENSG00000004059,0.56148115746711
45,ENSG00000004139,0.403563539095102
46,ENSG00000004142,-0.999758625585685
47,ENSG00000004399,0.593786901237254
48,ENSG00000004455,0.676612053386784
49,ENSG00000004468,-0.80107580499746
50,ENSG00000004478,-0.43224885391954
51,ENSG00000004487,-0.959428366532468
52,ENSG00000004534,-0.967082234730369
53,ENSG00000004660,-0.218062119903882
54,ENSG00000004700,0.5755958168041
55,ENSG00000004766,0.364696566110881
56,ENSG00000004777,-0.317581250368294
57,ENSG00000004779,0.0976580490066258
58,ENSG00000004799,-0.948839070682603
59,ENSG00000004809,-0.0135642579402467
60,ENSG00000004838,-0.317888174490413
61,ENSG00000004846,-0.939943980410324
62,ENSG00000004864,-0.663936734866734
63,ENSG00000004866,-0.996127172495163
64,ENSG00000004897,-0.43816218369335
65,ENSG00000004939,0.229144013497478
66,ENSG00000004961,-0.783399894563203
67,ENSG00000004975,-0.073954951985003
68,ENSG00000005001,0.472998025159358
69,ENSG00000005007,0.211776536944378
70,ENSG00000005020,0.547923073174362
71,ENSG00000005022,-0.422696325458896
72,ENSG00000005059,0.666202095783669
73,ENSG00000005075,0.0675579971578817
74,ENSG00000005100,0.5755958168041
75,ENSG00000005102,-0.879131934045528
76,ENSG00000005108,-0.955751099438439
77,ENSG00000005156,0.562619904763257
78,ENSG00000005175,-0.32474207249015
79,ENSG00000005187,-0.12599484606611
80,ENSG00000005189,-0.966022497315348
81,ENSG00000005194,-0.99776273204948
82,ENSG00000005206,0.327273702031337
83,ENSG00000005238,0.554432244849959
84,ENSG00000005243,0.393604970900207
85,ENSG00000005249,-0.63055478016533
86,ENSG00000005302,0.138206302246468
87,ENSG00000005339,0.23345880645968
88,ENSG00000005379,0.18304306214654
89,ENSG00000005381,0.593786901237254
90,ENSG00000005421,-0.638924892940498
91,ENSG00000005436,-0.805298710577248
92,ENSG00000005448,0.483684358193614
93,ENSG00000005469,-0.67889582619572
94,ENSG00000005471,-0.999999819246347
